Rank,Lifter,Sex,Age,Equip,Class,Weight,Squat,Bench,Deadlift,Total,Dots
166,Jessica Schmidt,F,41~,Raw,100+,114.3,120,67.5,147.5,335,272.72
167,Larry Massey,M,42~,Raw,110,106.8,140,125,190,455,272.56
168,Nikita Vivekanandan,F,23~,Raw,67.5,66.3,85,47.5,125,257.5,268.63
169,Kimberly Adams,F,31~,Raw,90,82.8,100,50,135,285,264.05
170,Samantha Browning,F,13~,Raw,67.5,63.8,85,50,112.5,247.5,264.04
171,Julia Elligers,F,43~,Raw,75,73.8,97.5,60,110,267.5,262.78
172,Rachael Beck,F,24~,Raw,90,85,102.5,65,117.5,285,260.71
173,Aidan Posada,M,18~,Raw,100,93.1,142.5,82.5,182.5,407.5,259.14
174,Ben Rees,M,18~,Raw,67.5,62,95,85,130,310,254.82
175,Molly Cruse,F,53~,Raw,67.5,61.1,85,55,92.5,232.5,254.69
176,Phoenix Ahles,F,14~,Raw,67.5,66.7,77.5,35,125,237.5,246.79
177,David Howard,M,40~,Raw,125,117.4,142.5,132.5,142.5,417.5,241.55
178,Kaitlyn Jones,F,31~,Raw,90,84.3,100,50,110,260,238.84
179,Sean Moran,M,31~,Raw,90,88.3,125,77.5,162.5,365,238.25
180,Harshal Modi,M,19~,Raw,75,71.3,122.5,60,115,297.5,220.56
181,Amy Knieriem,F,59~,Raw,67.5,66.3,67.5,40,97.5,205,213.86
182,Charles Bramble,M,65~,Raw,100,99.1,115,75,145,335,207.01
DQ,Brandon Cadena,M,21~,Raw,82.5,80.1,177.5,,225,,
DQ,Sameer Rahman,M,22~,Raw,75,71.7,,130,210,,
DQ,Justin Dubon Cinco,M,18~,Raw,90,89.9,,,,,
